,mV
639,1867
640,1875
641,1872
642,1870
643,1862
644,1849
645,1826
646,1807
647,1789
648,1777
649,1775
650,1777
651,1781
652,1787
653,1799
654,1813
655,1824
656,1822
657,1818
658,1814
659,1808
660,1797
661,1791
662,1776
663,1765
664,1766
665,1767
666,1770
667,1776
668,1788
669,1806
670,1819
671,1838
672,1840
673,1840
674,1833
675,1827
676,1811
677,1806
678,1789
679,1777
680,1767
681,1767
682,1772
683,1778
684,1785
685,1792
686,1807
687,1815
688,1824
689,1837
690,1835
691,1829
692,1820
693,1805
694,1787
695,1765
696,1754
697,1742
698,1743
699,1749
700,1760
701,1774
702,1787
703,1807
704,1829
705,1838
706,1840
707,1837
708,1821
709,1808
710,1792
711,1775
712,1755
713,1742
714,1739
715,1742
716,1746
717,1759
718,1773
719,1785
720,1805
721,1815
722,1822
723,1820
724,1813
725,1808
726,1807
727,1792
728,1782
729,1764
730,1762
731,1758
732,1760
733,1770
734,1777
735,1790
736,1808
737,1817
738,1829
739,1828
740,1818
741,1813
742,1796
743,1782
744,1774
745,1754
746,1746
747,1742
748,1743
749,1745
750,1758
751,1767
752,1781
753,1797
754,1808
755,1821
756,1831
757,1824
758,1811
759,1808
760,1792
761,1777
762,1762
763,1757
764,1754
765,1755
766,1761
767,1769
768,1776
769,1783
770,1806
771,1815
772,1823
773,1825
774,1827
775,1815
776,1811
777,1808
778,1792
779,1778
780,1774
781,1774
782,1770
783,1775
784,1779
785,1797
786,1794
787,1811
788,1821
789,1820
790,1814
791,1811
792,1808
793,1805
794,1801
795,1793
796,1788
797,1790
798,1785
799,1791
800,1797
801,1805
802,1811
803,1823
804,1829
805,1837
806,1835
807,1829
808,1825
809,1818
810,1815
811,1801
812,1783
813,1771
814,1767
815,1769
816,1777
817,1790
818,1803
819,1820
820,1838
821,1853
822,1862
823,1862
824,1860
825,1855
826,1843
827,1830
828,1815
829,1801
830,1787
831,1784
832,1781
833,1789
834,1795
835,1808
836,1833
837,1853
838,1867
839,1868
840,1866
841,1859
842,1845
843,1827
844,1818
845,1802
846,1792
847,1792
848,1797
849,1808
850,1825
851,1844
852,1856
853,1879
854,1895
855,1898
856,1895
857,1885
858,1872
859,1857
860,1845
861,1830
862,1815
863,1807
864,1805
865,1808
866,1808
867,1823
868,1837
869,1851
870,1873
871,1885
872,1889
873,1888
874,1882
875,1875
876,1870
877,1856
878,1844
879,1830
880,1830
881,1831
882,1835
883,1840
884,1856
885,1866
886,1883
887,1899
888,1899
889,1894
890,1888
891,1877
892,1869
893,1857
894,1842
895,1827
896,1818
897,1813
898,1814
899,1822
900,1835
901,1851
902,1859
903,1886
904,1903
905,1920
906,1928
907,1923
908,1920
909,1915
910,1904
911,1891
912,1873
913,1865
914,1858
915,1859
916,1860
917,1867
918,1871
919,1886
920,1901
921,1918
922,1924
923,1921
924,1919
925,1910
926,1901
927,1889
928,1872
929,1857
930,1854
931,1856
932,1868
933,1876
934,1891
935,1904
936,1919
937,1936
938,1948
939,1950
940,1947
941,1943
942,1934
943,1926
944,1914
945,1902
946,1894
947,1891
948,1897
949,1904
950,1919
951,1934
952,1946
953,1969
954,1993
955,2001
956,2015
957,2018
958,2017
959,2014
960,2003
961,1997
962,1981
963,1968
964,1967
965,1965
966,1955
967,1968
968,1979
969,1995
970,2011
971,2027
972,2037
973,2045
974,2042
975,2035
976,2032
977,2027
978,2015
979,2000
980,1995
981,1997
982,1997
983,2005
984,2010
985,2021
986,2033
987,2035
988,2036
989,2027
990,2019
991,2002
992,1989
993,1973
994,1953
995,1932
996,1907
997,1891
998,1886
999,1883
1000,1891
1001,1904
1002,1917
1003,1937
1004,1956
1005,1968
1006,1968
1007,1966
1008,1954
1009,1941
1010,1933
1011,1904
1012,1888
1013,1871
1014,1862
1015,1856
1016,1855
1017,1855
1018,1854
1019,1865
1020,1872
1021,1886
1022,1885
1023,1889
1024,1881
1025,1877
1026,1869
1027,1865
1028,1847
1029,1838
1030,1830
1031,1829
1032,1827
1033,1834
1034,1842
1035,1854
1036,1872
1037,1883
1038,1889
1039,1884
1040,1877
1041,1872
1042,1865
1043,1856
1044,1845
1045,1837
1046,1830
1047,1830
1048,1831
1049,1840
1050,1845
1051,1855
1052,1863
1053,1879
1054,1890
1055,1895
1056,1895
1057,1887
1058,1873
1059,1868
1060,1860
1061,1841
1062,1829
1063,1820
1064,1824
1065,1827
1066,1838
1067,1840
1068,1845
1069,1863
1070,1872
1071,1887
1072,1888
1073,1884
1074,1882
1075,1877
1076,1875
1077,1874
1078,1869
1079,1858
1080,1863
1081,1871
1082,1872
1083,1881
1084,1895
1085,1906
1086,1921
1087,1930
1088,1939
1089,1936
1090,1934
1091,1932
1092,1920
1093,1911
1094,1900
1095,1878
1096,1867
1097,1861
1098,1860
1099,1866
1100,1883
1101,1903
1102,1922
1103,1947
1104,1966
1105,1977
1106,1981
1107,1979
1108,1970
1109,1963
1110,1949
1111,1935
1112,1911
1113,1905
1114,1904
1115,1909
1116,1927
1117,1941
1118,1963
1119,1983
1120,2006
1121,2032
1122,2041
1123,2065
1124,2082
1125,2095
1126,2106
1127,2123
1128,2139
1129,2167
1130,2199
1131,2252
1132,2314
1133,2390
1134,2478
1135,2575
1136,2672
1137,2773
1138,2869
1139,2961
1140,3056
1141,3147
1142,3227
1143,3309
1144,3387
1145,3466
1146,3559
1147,3655
1148,3766
1149,3883
1150,3967
1151,4085
1152,4095
1153,4095
1154,4090
1155,3967
1156,3789
1157,3565
1158,3341
1159,3109
1160,2867
1161,2628
1162,2391
1163,2171
1164,1973
1165,1803
1166,1655
1167,1521
1168,1421
1169,1351
1170,1312
1171,1301
1172,1308
1173,1331
1174,1374
1175,1424
1176,1487
1177,1550
1178,1599
1179,1650
1180,1706
1181,1763
1182,1813
1183,1859
1184,1893
1185,1919
1186,1939
1187,1965
1188,1973
1189,1981
1190,1982
1191,1977
1192,1968
1193,1966
1194,1953
1195,1937
1196,1933
1197,1931
1198,1938
1199,1951
1200,1963
1201,1981
1202,2000
1203,2021
1204,2035
1205,2044
1206,2047
1207,2036
1208,2029
1209,2019
1210,2003
1211,1986
1212,1967
1213,1963
1214,1959
1215,1958
1216,1968
1217,1978
1218,1988
1219,2000
1220,2007
1221,2020
1222,2025
1223,2027
1224,2022
1225,2016
1226,2003
1227,1998
1228,1983
1229,1967
1230,1958
1231,1952
1232,1950
1233,1955
1234,1962
1235,1970
1236,1986
1237,2001
1238,2009
1239,2012
1240,2002
1241,1994
1242,1982
1243,1965
1244,1945
1245,1929
1246,1914
1247,1910
1248,1914
1249,1928
1250,1938
1251,1951
1252,1968
1253,1993
1254,2011
1255,2018
1256,2029
1257,2024
1258,2009
1259,2003
1260,1987
1261,1971
1262,1949
1263,1943
1264,1939
1265,1943
1266,1956
1267,1961
1268,1982
1269,1995
1270,2010
1271,2015
1272,2025
1273,2037
1274,2058
1275,2079
1276,2094
1277,2099
1278,2104
1279,2097
1280,2096
1281,2084
1282,2069
1283,2046
1284,2028
1285,2018
1286,2015
1287,2023
1288,2032
1289,2042
1290,2061
1291,2073
1292,2094
1293,2112
1294,2113
1295,2121
1296,2111
1297,2101
1298,2093
1299,2084
1300,2065
1301,2053
1302,2046
1303,2046
1304,2057
1305,2064
1306,2083
1307,2096
1308,2118
1309,2149
1310,2161
1311,2175
1312,2186
1313,2178
1314,2177
1315,2175
1316,2160
1317,2140
