,mV
643,1808
644,1799
645,1789
646,1777
647,1779
648,1786
649,1789
650,1791
651,1803
652,1809
653,1826
654,1819
655,1826
656,1818
657,1814
658,1808
659,1801
660,1792
661,1782
662,1780
663,1786
664,1791
665,1797
666,1808
667,1815
668,1828
669,1840
670,1846
671,1841
672,1838
673,1840
674,1833
675,1826
676,1818
677,1808
678,1802
679,1795
680,1798
681,1803
682,1808
683,1815
684,1823
685,1838
686,1840
687,1834
688,1821
689,1809
690,1801
691,1787
692,1780
693,1777
694,1778
695,1787
696,1791
697,1795
698,1806
699,
700,1821
701,1838
702,1838
703,1840
704,1838
705,1838
706,1829
707,1821
708,1808
709,1805
710,1801
711,1803
712,1808
713,1812
714,1819
715,1826
716,1837
717,1844
718,1854
719,1855
720,1854
721,1854
722,1852
723,1845
724,1840
725,1835
726,1825
727,1822
728,1821
729,1825
730,1829
731,1840
732,1847
733,1857
734,1866
735,1859
736,1867
737,1856
738,1853
739,1845
740,1838
741,1829
742,1809
743,1803
744,1792
745,1798
746,1798
747,1805
748,1811
749,1827
750,1850
751,1872
752,1887
753,1895
754,1901
755,1903
756,1894
757,1889
758,1879
759,1872
760,
761,1867
762,1872
763,1879
764,1898
765,1907
766,1934
767,1951
768,1973
769,1989
770,1992
771,1987
772,1985
773,1977
774,1968
775,1958
776,1945
777,1933
778,1925
779,1919
780,1922
781,1927
782,1937
783,1946
784,1957
785,1975
786,1987
787,1998
788,2002
789,2008
790,2005
791,2000
792,1997
793,1983
794,1968
795,1958
796,1949
797,1938
798,1935
799,1930
800,1929
801,1923
802,1925
803,1917
804,1910
805,1901
806,1893
807,1883
808,1872
809,1830
810,1828
811,1826
812,1828
813,1831
814,1839
815,
816,1845
817,1855
818,1861
819,1859
820,1851
821,1845
822,1831
823,1823
824,1809
825,1797
826,1781
827,1768
828,1767
829,1771
830,1776
831,1782
832,1791
833,1802
834,1811
835,1819
836,1821
837,1825
838,1819
839,1816
840,1808
841,1803
842,1783
843,1775
844,1767
845,1765
846,1766
847,1765
848,1777
849,1786
850,1799
851,1814
852,1823
853,1825
854,1823
855,1822
856,1823
857,1809
858,1806
859,1789
860,1782
861,1782
862,1786
863,1791
864,1791
865,1823
866,1829
867,1826
868,1829
869,1826
870,1822
871,1820
872,1812
873,1806
874,1797
875,
876,1795
877,1794
878,1798
879,1807
880,1809
881,1819
882,1837
883,1843
884,1847
885,1842
886,1842
887,1839
888,1835
889,1824
890,1812
891,1808
892,1806
893,1813
894,1825
895,1835
896,1843
897,1856
898,1872
899,1875
900,1885
901,1884
902,1881
903,1879
904,1872
905,1869
906,1863
907,1855
908,1849
909,1845
910,1856
911,1856
912,1866
913,1873
914,1881
915,1893
916,1902
917,1899
918,1891
919,1889
920,1876
921,1869
922,1867
923,1861
924,1861
925,1872
926,1888
927,1906
928,1935
929,1962
930,1993
931,2031
932,2081
933,2127
934,2176
935,2237
936,2305
937,2373
938,2447
939,2512
940,2593
941,2672
942,2758
943,2847
944,2940
945,3041
946,3146
947,3249
948,3362
949,3456
950,3539
951,3646
952,3710
953,3776
954,3809
955,3792
956,3715
957,3613
958,3472
959,3312
960,3129
961,2926
962,2714
963,2503
964,2305
965,2112
966,1920
967,1744
968,1591
969,1456
970,1347
971,1262
972,1206
973,1179
974,1184
975,1207
976,1250
977,1310
978,1377
979,1453
980,1522
981,1603
982,1672
983,1728
984,1775
985,1815
986,1840
987,1862
988,1872
989,1872
990,1902
991,1911
992,1925
993,
994,1940
995,1945
