,mV
639,1953
640,1962
641,1963
642,1959
643,1942
644,1921
645,1904
646,1882
647,1867
648,1853
649,1846
650,1850
651,1861
652,1879
653,1906
654,1931
655,1951
656,1963
657,1967
658,1963
659,1953
660,1936
661,1919
662,1901
663,1884
664,1872
665,1872
666,1878
667,1899
668,1923
669,1954
670,1984
671,2012
672,2031
673,2041
674,2043
675,2032
676,2017
677,1998
678,1980
679,1953
680,1925
681,1895
682,1872
683,1859
684,1863
685,1874
686,1895
687,1921
688,1951
689,1971
690,1994
691,2003
692,2006
693,2000
694,1993
695,1979
696,1968
697,1958
698,1951
699,1946
700,1952
701,1959
702,1978
703,1993
704,2006
705,2017
706,2018
707,2017
708,2002
709,1990
710,1970
711,1947
712,1929
713,1919
714,1907
715,1911
716,1915
717,1931
718,1956
719,1984
720,2019
721,2054
722,2076
723,2097
724,2112
725,2119
726,2117
727,2109
728,2094
729,2077
730,2064
731,2055
732,2044
733,2047
734,2054
735,2069
736,2083
737,2095
738,2098
739,2096
740,2096
741,2080
742,2063
743,2033
744,2007
745,1985
746,1979
747,1975
748,1983
749,1995
750,2016
751,2039
752,2068
753,2090
754,2102
755,2111
756,2107
757,2096
758,2084
759,2061
760,2027
761,1991
762,1955
763,1925
764,1901
765,1881
766,1868
767,1865
768,1874
769,1887
770,1903
771,1909
772,1917
773,1910
774,1899
775,1881
776,1859
777,1840
778,1826
779,1811
780,1807
781,1803
782,1803
783,1809
784,1823
785,1840
786,1855
787,1867
788,1875
789,1882
790,1880
791,1872
792,1858
793,1838
794,1807
795,1777
796,1760
797,1750
798,1751
799,1767
800,1797
801,1831
802,1863
803,1893
804,1910
805,1919
806,1907
807,1901
808,1872
809,1856
810,1829
811,1808
812,1789
813,1773
814,1766
815,1771
816,1780
817,1808
818,1840
819,1871
820,1897
821,1914
822,1917
823,1918
824,1904
825,1887
826,1866
827,1842
828,1826
829,1808
830,1795
831,1789
832,1792
833,1799
834,1815
835,1845
836,1871
837,1895
838,1915
839,1930
840,1941
841,1945
842,1947
843,1936
844,1919
845,1898
846,1874
847,1855
848,1845
849,1840
850,1840
851,1853
852,1871
853,1891
854,1908
855,1925
856,1943
857,1964
858,1981
859,1999
860,2011
861,2025
862,2039
863,2064
864,2086
865,2113
866,2147
867,2196
868,2259
869,2335
870,2417
871,2501
872,2582
873,2655
874,2711
875,2763
876,2780
877,2768
878,2736
879,2683
880,2619
881,2543
882,2467
883,2398
884,2336
885,2285
886,2224
887,2171
888,2124
889,2067
890,2006
891,1950
892,1890
893,1833
894,1774
895,1717
896,1667
897,1631
898,1605
899,1597
900,1597
901,1610
902,1634
903,1666
904,1700
905,1737
906,1775
907,1808
908,1838
909,1850
910,1858
911,1858
912,1859
913,1856
914,1856
915,1861
916,1863
917,1874
918,1885
919,1899
920,1905
921,1914
922,1919
923,1919
924,1917
925,1913
926,1903
927,1893
928,1881
929,1875
930,1874
931,1874
932,1874
933,1884
934,1899
935,1911
936,1925
937,1938
938,1952
939,1954
940,1957
941,1953
942,1946
943,1926
944,1905
945,1890
946,1878
947,1877
948,1886
949,1898
950,1911
951,1931
952,1955
953,1978
954,1998
955,2014
956,2022
957,2025
958,2013
959,1986
960,1948
961,1914
962,1886
963,1866
964,1847
965,1841
966,1845
967,1865
968,1892
969,1927
970,1963
971,1986
972,2006
973,2018
974,2026
975,2019
976,2005
977,1987
978,1966
979,1943
980,1926
981,1913
982,1906
983,1904
984,1909
985,1918
986,1927
987,1936
988,1938
989,1939
990,1936
991,1923
992,1911
993,1887
994,1866
995,1843
996,1834
997,1840
998,1859
999,1877
1000,1908
1001,1943
1002,1975
1003,2002
1004,2020
1005,2031
1006,2032
1007,2032
1008,2023
1009,2010
1010,1995
1011,1969
1012,1947
1013,1923
1014,1904
1015,1899
1016,1895
1017,1891
1018,1901
1019,1907
1020,1922
1021,1928
1022,1933
1023,1934
1024,1931
1025,1922
1026,1905
1027,1891
1028,1874
1029,1870
1030,1863
1031,1871
1032,1889
1033,1914
1034,1951
1035,1994
1036,2037
1037,2083
1038,2113
1039,2123
1040,2123
1041,2112
1042,2096
1043,2081
1044,2059
1045,2032
1046,2010
1047,1994
1048,1981
1049,1973
1050,1975
1051,1985
1052,2000
1053,2017
1054,2033
1055,2047
1056,2061
1057,2064
1058,2055
1059,2043
1060,2024
1061,2004
1062,1998
1063,1992
1064,2000
1065,2006
1066,2019
1067,2039
1068,2070
1069,2097
1070,2112
1071,2126
1072,2127
1073,2118
1074,2109
1075,2094
1076,2064
1077,2041
1078,2023
1079,2012
1080,2005
1081,2007
1082,2027
1083,2054
1084,2082
1085,2112
1086,2145
1087,2167
1088,2190
1089,2202
1090,2207
1091,2199
1092,2188
1093,2161
1094,2131
1095,2102
1096,2078
1097,2058
1098,2037
1099,2032
1100,2033
1101,2053
1102,2077
1103,2107
1104,2126
1105,2149
1106,2160
1107,2163
1108,2160
1109,2155
1110,2147
1111,2134
1112,2128
1113,2128
1114,2135
1115,2146
1116,2160
1117,2187
1118,2219
1119,2253
1120,2277
1121,2295
1122,2307
1123,2310
1124,2305
1125,2289
1126,2224
1127,2207
1128,2182
1129,2162
1130,2146
1131,2128
1132,2119
1133,2112
1134,2111
1135,2115
1136,2128
1137,2135
1138,2146
1139,2146
1140,2138
1141,2127
1142,2110
1143,2084
1144,2058
1145,2025
1146,2003
1147,1983
1148,1968
1149,1959
1150,1954
1151,1961
1152,1973
1153,1990
1154,2003
1155,2014
1156,2031
1157,2033
1158,2032
1159,2025
1160,2006
1161,1984
1162,1957
1163,1936
1164,1917
1165,1904
1166,1902
1167,1901
1168,1911
1169,1927
1170,1946
1171,1952
1172,1957
1173,1951
1174,1939
1175,1924
1176,1904
1177,1872
1178,1841
1179,1811
1180,1789
1181,1770
1182,1758
1183,1754
1184,1763
1185,1778
1186,1806
1187,1833
1188,1858
1189,1878
1190,1902
1191,1914
1192,1923
1193,1925
1194,1921
1195,1905
1196,1895
1197,1872
1198,1855
1199,1840
1200,1831
1201,1833
1202,1840
1203,1850
1204,1871
1205,1882
1206,1895
1207,1905
1208,1907
1209,1902
1210,1886
1211,1872
1212,1861
1213,1853
1214,1842
1215,1844
1216,1847
1217,1850
1218,1864
1219,1878
1220,1889
1221,1902
1222,1905
1223,1911
1224,1904
1225,1894
1226,1873
1227,1854
1228,1831
1229,1809
1230,1791
1231,1781
1232,1779
1233,1782
1234,1793
1235,1811
