,mV
639,1692
640,1677
641,1676
642,1674
643,1677
644,1682
645,1698
646,1711
647,1728
648,1738
649,1745
650,1743
651,1739
652,1732
653,1719
654,1702
655,1677
656,1659
657,1651
658,1648
659,1655
660,1663
661,1681
662,1707
663,1733
664,1761
665,1774
666,1775
667,1775
668,1763
669,1751
670,1734
671,1712
672,1690
673,1680
674,1677
675,1677
676,1681
677,1689
678,1702
679,1721
680,1738
681,1744
682,1746
683,1744
684,1738
685,1723
686,1705
687,1685
688,1667
689,1655
690,1648
691,1649
692,1658
693,1675
694,1690
695,1703
696,1723
697,1743
698,1746
699,1758
700,1751
701,1749
702,1744
703,1731
704,1712
705,1687
706,1670
707,1658
708,1655
709,1663
710,1667
711,1680
712,1694
713,1724
714,1746
715,1753
716,1754
717,1755
718,1746
719,1742
720,1725
721,1702
722,1679
723,1663
724,1659
725,1654
726,1664
727,1677
728,1691
729,1712
730,1733
731,1755
732,1758
733,1763
734,1761
735,1746
736,1735
737,1715
738,1698
739,1680
740,1667
741,1665
742,1664
743,1667
744,1677
745,1689
746,1712
747,1733
748,1745
749,1749
750,1747
751,1737
752,1721
753,1712
754,1697
755,1680
756,1665
757,1661
758,1663
759,1673
760,1686
761,1706
762,1721
763,1744
764,1773
765,1777
766,1789
767,1791
768,1783
769,1776
770,1750
771,1729
772,1709
773,1683
774,1679
775,1679
776,1680
777,1686
778,1699
779,1714
780,1733
781,1744
782,1744
783,1744
784,1741
785,1735
786,1730
787,1715
788,1699
789,1685
790,1678
791,1677
792,1683
793,1692
794,1702
795,1712
796,1731
797,1753
798,1759
799,1758
800,1754
801,1753
802,1744
803,1741
804,1733
805,1719
806,1712
807,1711
808,1713
809,1726
810,1743
811,1756
812,1772
813,1792
814,1808
815,1806
816,1808
817,1799
818,1789
819,1776
820,1756
821,1730
822,1701
823,1685
824,1683
825,1687
826,1701
827,1714
828,1730
829,1754
830,1778
831,1797
832,1802
833,1798
834,1795
835,1781
836,1774
837,1756
838,1740
839,1731
840,1721
841,1718
842,1723
843,1730
844,1744
845,1763
846,1789
847,1809
848,1815
849,1818
850,1813
851,1808
852,1802
853,1791
854,1775
855,1758
856,1745
857,1742
858,1743
859,1743
860,1747
861,1762
862,1774
863,1793
864,1809
865,1819
866,1824
867,1819
868,1818
869,1813
870,1810
871,1795
872,1781
873,1779
874,1790
875,1797
876,1818
877,1840
878,1863
879,1895
880,1921
881,1942
882,1945
883,1943
884,1941
885,1927
886,1911
887,1895
888,1869
889,1843
890,1830
891,1826
892,1831
893,1843
894,1863
895,1881
896,1914
897,1937
898,1955
899,1963
900,1961
901,1951
902,1934
903,1914
904,1894
905,1862
906,1842
907,1829
908,1826
909,1826
910,1825
911,1840
912,1847
913,1872
914,1887
915,1894
916,1902
917,1895
918,1886
919,1872
920,1855
921,1827
922,1799
923,1776
924,1761
925,1754
926,1754
927,1757
928,1765
929,1777
930,1803
931,1821
932,1811
933,1810
934,1801
935,1783
936,1766
937,1744
938,1718
939,1701
940,1683
941,1683
942,1691
943,1701
944,1717
945,1738
946,1763
947,1795
948,1808
949,1811
950,1811
951,1810
952,1797
953,1788
954,1770
955,1745
956,1731
957,1725
958,1726
959,1734
960,1742
961,1749
962,1768
963,1789
964,1806
965,1811
966,1814
967,1810
968,1808
969,1798
970,1786
971,1767
972,1743
973,1728
974,1725
975,1725
976,1733
977,1744
978,1762
979,1783
980,1815
981,1834
982,1838
983,1840
984,1839
985,1831
986,1822
987,1809
988,1793
989,1776
990,1769
991,1763
992,1764
993,1771
994,1780
995,1795
996,1808
997,1834
998,1837
999,1843
1000,1840
1001,1837
1002,1825
1003,1811
1004,1801
1005,1777
1006,1761
1007,1755
1008,1754
1009,1761
1010,1772
1011,1787
1012,1809
1013,1808
1014,1828
1015,1843
1016,1870
1017,1904
1018,1953
1019,1997
1020,2036
1021,2080
1022,2120
1023,2159
1024,2208
1025,2256
1026,2306
1027,2357
1028,2416
1029,2483
1030,2575
1031,2668
1032,2768
1033,2871
1034,3001
1035,3134
1036,3261
1037,3385
1038,3506
1039,3639
1040,3760
1041,3892
1042,4016
1043,4095
1044,4095
1045,4095
1046,4095
1047,4095
1048,4034
1049,3889
1050,3711
1051,3518
1052,3347
1053,3170
1054,3008
1055,2855
1056,2706
1057,2575
1058,2437
1059,2330
1060,2232
1061,2151
1062,2102
1063,2081
1064,2096
1065,2119
1066,2158
1067,2203
1068,2259
1069,2317
1070,2359
1071,2391
1072,2411
1073,2426
1074,2425
1075,2415
1076,2395
1077,2367
1078,2346
1079,2327
1080,2326
1081,2324
1082,2330
1083,2331
1084,2345
1085,2362
1086,2373
1087,2373
1088,2365
1089,2352
1090,2335
1091,2319
1092,2294
1093,2270
1094,2239
1095,2219
1096,2210
1097,2201
1098,2191
1099,2193
1100,2202
1101,2213
1102,2226
1103,2229
1104,2239
1105,2228
1106,2214
1107,2189
1108,2155
1109,2136
1110,2103
1111,2078
1112,2063
1113,2044
1114,2046
1115,2045
1116,2055
1117,2063
1118,2076
1119,2092
1120,2096
1121,2081
1122,2082
1123,2053
1124,2039
1125,2021
1126,1995
1127,1965
1128,1936
1129,1923
1130,1909
1131,1902
1132,1897
1133,1899
1134,1903
1135,1911
1136,1920
1137,1919
1138,1905
1139,1908
1140,1904
1141,1902
1142,1889
1143,1872
1144,1852
1145,1840
1146,1835
1147,1840
1148,1836
1149,1846
1150,1856
1151,1873
1152,1895
1153,1909
1154,1915
1155,1909
1156,1904
1157,1894
1158,1877
1159,1865
1160,1844
1161,1820
1162,1805
1163,1792
1164,1794
1165,1798
1166,1807
1167,1819
1168,1835
