,mV
639,3312
640,3088
641,2850
642,2606
643,2345
644,2109
645,1911
646,1753
647,1640
648,1552
649,1488
650,1444
651,1429
652,1434
653,1442
654,1441
655,1439
656,1429
657,1424
658,1425
659,1429
660,1431
661,1453
662,1499
663,1554
664,1610
665,1654
666,1696
667,1738
668,1776
669,1808
670,1827
671,1824
672,1810
673,1786
674,1754
675,1715
676,1664
677,1623
678,1600
679,1598
680,1619
681,1659
682,1698
683,1737
684,1783
685,1833
686,1861
687,1870
688,1851
689,1824
690,1803
691,1777
692,1758
693,1713
694,1689
695,1682
696,1696
697,1719
698,1747
699,1776
700,1797
701,1825
702,1843
703,1844
704,1826
705,1801
706,1763
707,1743
708,1719
709,1691
710,1663
711,1648
712,1653
713,1675
714,1700
715,1730
716,1756
717,1780
718,1819
719,1850
720,1861
721,1851
722,1828
723,1790
724,1753
725,1723
726,1686
727,1666
728,1669
729,1690
730,1731
731,1778
732,1815
733,1850
734,1886
735,1923
736,1936
737,1934
738,1899
739,1849
740,1801
741,1748
742,1707
743,1650
744,1619
745,1616
746,1633
747,1675
748,1719
749,1759
750,1791
751,1823
752,1848
753,1856
754,1842
755,1806
756,1758
757,1709
758,1663
759,1612
760,1564
761,1532
762,1531
763,1568
764,1600
765,1650
766,1707
767,1775
768,1851
769,1914
770,1965
771,1979
772,1979
773,1956
774,1925
775,1885
776,1833
777,1787
778,1755
779,1751
780,1775
781,1807
782,1844
783,1882
784,1920
785,1964
786,1984
787,1982
788,1963
789,1924
790,1875
791,1830
792,1781
793,1728
794,1689
795,1683
796,1709
797,1751
798,1796
799,1838
800,1884
801,1927
802,1966
803,1984
804,1969
805,1931
806,1878
807,1835
808,1779
809,1728
810,1680
811,1653
812,1659
813,1691
814,1744
815,1806
816,1866
817,1929
818,1984
819,2019
820,2042
821,2032
822,2000
823,1962
824,1919
825,1875
826,1823
827,1787
828,1782
829,1813
830,1867
831,1926
832,1979
833,2023
834,2070
835,2117
836,2134
837,2128
838,2095
839,2041
840,1992
841,1945
842,1898
843,1843
844,1807
845,1804
846,1817
847,1846
848,1880
849,1906
850,1936
851,1975
852,2023
853,2047
854,2057
855,2043
856,2025
857,1999
858,1968
859,1936
860,1901
861,1888
862,1899
863,1927
864,1968
865,2002
866,2034
867,2076
868,2116
869,2143
870,2154
871,2138
872,2110
873,2065
874,2027
875,1977
876,1921
877,1872
878,1854
879,1865
880,1886
881,1930
882,1971
883,2006
884,2063
885,2096
886,2119
887,2108
888,2083
889,2030
890,1996
891,1958
892,1910
893,1862
894,1822
895,1808
896,1808
897,1828
898,1857
899,1887
900,1919
901,1955
902,1987
903,1998
904,1977
905,1938
906,1885
907,1824
908,1770
909,1699
910,1635
911,1601
912,1593
913,1613
914,1641
915,1677
916,1585
917,1573
918,1590
919,1618
920,1653
921,1686
922,1717
923,1742
924,1775
925,1801
926,1815
927,1809
928,1790
929,1759
930,1721
931,1692
932,1645
933,1601
934,1575
935,1575
936,1590
937,1608
938,1626
939,1643
940,1664
941,1696
942,1725
943,1749
944,1758
945,1751
946,1742
947,1716
948,1698
949,1669
950,1650
951,1655
952,1680
953,1710
954,1737
955,1760
956,1782
957,1808
958,1831
959,1839
960,1837
961,1815
962,1781
963,1750
964,1717
965,1668
966,1617
967,1579
968,1565
969,1574
970,1602
971,1646
972,1687
973,1732
974,1786
975,1836
976,1863
977,1859
978,1840
979,1817
980,1781
981,1751
982,1712
983,1682
984,1680
985,1700
986,1728
987,1767
988,1807
989,1840
990,1877
991,1917
992,1946
993,1955
994,1937
995,1904
996,1870
997,1825
998,1789
999,1739
1000,1694
1001,1680
1002,1680
1003,1701
1004,1739
1005,1776
1006,1823
1007,1865
1008,1914
1009,1943
1010,1951
1011,1931
1012,1881
1013,1827
1014,1770
1015,1707
1016,1640
1017,1593
1018,1585
1019,1600
1020,1626
1021,1664
1022,1702
1023,1756
1024,1826
1025,1903
1026,1967
1027,1991
1028,2005
1029,1999
1030,1982
1031,1951
1032,1909
1033,1861
1034,1833
1035,1822
1036,1835
1037,1851
1038,1883
1039,1908
1040,1935
1041,1969
1042,1987
1043,1984
1044,1965
1045,1919
1046,1879
1047,1851
1048,1812
1049,1777
1050,1744
1051,1744
1052,1754
1053,1787
1054,1825
1055,1867
1056,1906
1057,1941
1058,1984
1059,2012
1060,2026
1061,2019
1062,1990
1063,1962
1064,1925
1065,1889
1066,1840
1067,1803
1068,1793
1069,1804
1070,1826
1071,1856
1072,1885
1073,1918
1074,1958
1075,1997
1076,2017
1077,2013
1078,1974
1079,1931
1080,1879
1081,1837
1082,1783
1083,1737
1084,1721
1085,1738
1086,1779
1087,1835
1088,1897
1089,1948
1090,2005
1091,2066
1092,2107
1093,2112
1094,2095
1095,2035
1096,1986
1097,1925
1098,1872
1099,1791
1100,1733
1101,1703
1102,1710
1103,1744
1104,1786
1105,1840
1106,1884
1107,1942
1108,1999
1109,2032
1110,2062
1111,2056
1112,2030
1113,1997
1114,1967
1115,1926
1116,1875
1117,1841
1118,1825
1119,1827
1120,1853
1121,1885
1122,1923
1123,1963
1124,2015
1125,2071
1126,2102
1127,2105
1128,2078
1129,2026
1130,1967
1131,1906
1132,1840
1133,1786
1134,1753
1135,1747
1136,1774
1137,1820
1138,1879
1139,1938
1140,1996
1141,2061
1142,2105
1143,2124
1144,2109
1145,2076
1146,2029
1147,1978
1148,1931
1149,1872
1150,1827
1151,1810
1152,1826
1153,1863
1154,1905
1155,1956
1156,1995
1157,2042
1158,2095
1159,2123
1160,2133
1161,2114
1162,2073
1163,2031
1164,1985
1165,1941
1166,1891
1167,1867
1168,1854
1169,1863
1170,1885
1171,1913
1172,1937
1173,1968
1174,2014
1175,2071
1176,2100
1177,2098
1178,2079
1179,2046
1180,2000
1181,1957
1182,1904
1183,1850
1184,1822
1185,1822
1186,1855
1187,1898
1188,1946
1189,1987
1190,2033
1191,2091
1192,2128
1193,2145
1194,2129
1195,2102
1196,2063
1197,2015
1198,1969
1199,1922
1200,1886
1201,1879
1202,1900
1203,1925
1204,1953
1205,1984
1206,2012
1207,2047
1208,2097
1209,2118
1210,2128
1211,2114
1212,2091
1213,2061
1214,2014
1215,1975
1216,1933
1217,1920
1218,1917
1219,1939
1220,1982
1221,2023
1222,2070
1223,2099
1224,2128
1225,2166
1226,2169
1227,2150
1228,2110
1229,2061
1230,2002
1231,1957
1232,1913
1233,1874
1234,1872
1235,1903
1236,1957
1237,2028
1238,2093
1239,2160
1240,2208
1241,2256
1242,2291
1243,2293
1244,2268
1245,2213
1246,2159
1247,2105
1248,2059
1249,2000
1250,1968
1251,1958
1252,1968
1253,2010
1254,2055
1255,2095
1256,2125
1257,2164
1258,2206
1259,2229
1260,2225
1261,2197
1262,2150
1263,2106
1264,2064
1265,2012
1266,1968
1267,1932
1268,1932
1269,1942
1270,1975
1271,2013
1272,2061
1273,2100
1274,2158
1275,2199
1276,2230
1277,2243
1278,2226
1279,2195
1280,2177
1281,2159
1282,2126
1283,2077
1284,2069
1285,2075
1286,2102
1287,2129
1288,2155
1289,2173
1290,2192
1291,2223
1292,2233
1293,2237
1294,2218
1295,2183
1296,2147
1297,2112
1298,2080
1299,2033
1300,1997
1301,1990
1302,2011
1303,2056
1304,2109
1305,2160
1306,2210
1307,2257
1308,2320
1309,2352
1310,2368
1311,2363
1312,2344
1313,2309
1314,2301
1315,2276
1316,2242
1317,2222
1318,2224
1319,2237
1320,2261
1321,2299
1322,2346
1323,2369
1324,2421
1325,2450
1326,2465
1327,2448
1328,2419
1329,2372
1330,2326
1331,2286
1332,2247
1333,2207
1334,2213
1335,2229
1336,2272
1337,2326
1338,2375
1339,2413
1340,2448
1341,2480
1342,2491
1343,2471
1344,2433
1345,2379
1346,2321
1347,2266
1348,2225
1349,2176
1350,2153
1351,2161
1352,2208
1353,2263
1354,2341
1355,2398
1356,2447
1357,2486
1358,2522
1359,2537
1360,2515
1361,2480
1362,2418
1363,2353
1364,2288
1365,2219
1366,2145
1367,2096
1368,2077
1369,2077
1370,2096
1371,2123
1372,2155
1373,2183
1374,2225
1375,2267
1376,2293
1377,2307
1378,2291
1379,2285
1380,2256
1381,2229
1382,2190
1383,2143
1384,2121
1385,2118
1386,2139
1387,2164
1388,2198
1389,2224
1390,2256
1391,2294
1392,2320
1393,2318
1394,2289
1395,2249
1396,2197
1397,2151
1398,2096
1399,2047
1400,2003
1401,1997
1402,2010
1403,2064
1404,2125
1405,2192
1406,2247
1407,2311
1408,2351
1409,2391
1410,2390
1411,2366
1412,2322
1413,2273
1414,2231
1415,2185
1416,2131
1417,2096
1418,2078
1419,2086
1420,2099
1421,2137
1422,2178
1423,2224
1424,2271
1425,2311
1426,2322
1427,2317
1428,2274
1429,2230
1430,2192
1431,2158
1432,2120
1433,2096
1434,2098
1435,2129
1436,2174
1437,2224
1438,2185
1439,2164
1440,2189
1441,2202
1442,2234
1443,2258
1444,2290
1445,2328
1446,2357
1447,2371
1448,2366
1449,2337
1450,2306
1451,2273
1452,2244
1453,2207
1454,2170
1455,2164
1456,2176
1457,2221
1458,2278
1459,2339
1460,2415
1461,2495
1462,2598
1463,2691
1464,2761
1465,2816
1466,2848
1467,2867
1468,2893
1469,2925
1470,2945
1471,2981
1472,3046
1473,3142
1474,3255
1475,3419
1476,3600
1477,3796
1478,4048
1479,4095
1480,4095
1481,4095
1482,4095
1483,4095
1484,4095
1485,4095
1486,4095
1487,4095
1488,4095
1489,4095
1490,3987
1491,3819
1492,3635
1493,3423
1494,3245
1495,3086
1496,2928
1497,2778
1498,2622
1499,2462
1500,2317
1501,2179
1502,2061
1503,1951
1504,1863
1505,1830
1506,1830
1507,1877
1508,1949
1509,2021
1510,2105
1511,2183
1512,2268
1513,2330
1514,2363
1515,2361
1516,2342
1517,2314
1518,2274
1519,2238
1520,2189
1521,2143
1522,2135
1523,2158
1524,2191
1525,2242
1526,2288
1527,2329
1528,2368
1529,2397
1530,2424
1531,2432
1532,2412
1533,2386
1534,2349
1535,2320
1536,2288
1537,2245
1538,2214
1539,2195
1540,2211
1541,2240
1542,2282
1543,2315
1544,2350
1545,2386
1546,2418
1547,2423
1548,2404
1549,2362
1550,2307
1551,2256
1552,2220
1553,2179
1554,2144
1555,2129
1556,2135
1557,2157
1558,2181
1559,2208
1560,2231
1561,2251
1562,2261
1563,2257
1564,2233
1565,2186
1566,2130
1567,2095
1568,2067
1569,2057
1570,2057
1571,2066
1572,2106
1573,2161
1574,2229
1575,2290
1576,2349
1577,2394
1578,2443
1579,2485
1580,2507
1581,2496
1582,2457
1583,2411
1584,2333
1585,2274
1586,2209
1587,2138
1588,2095
1589,2079
1590,2093
1591,2123
1592,2161
1593,2206
1594,2245
1595,2286
1596,2311
1597,2306
1598,2279
1599,2224
1600,2176
1601,2133
1602,2103
1603,2076
1604,2047
1605,2045
1606,2064
1607,2095
1608,2128
1609,2160
1610,2190
1611,2220
1612,2256
1613,2285
1614,2299
1615,2295
1616,2287
1617,2271
1618,2245
1619,2222
1620,2171
1621,2128
1622,2114
1623,2115
1624,2134
1625,2170
1626,2206
1627,2243
1628,2288
1629,2333
1630,2363
1631,2369
1632,2347
1633,2306
1634,2256
1635,2207
1636,2159
1637,2103
1638,2068
1639,2076
1640,2095
1641,2139
1642,2191
1643,2237
1644,2281
1645,2321
1646,2349
1647,2346
1648,2317
1649,2263
1650,2195
1651,2129
1652,2064
1653,1993
1654,1935
1655,1919
1656,1951
1657,2015
1658,2103
1659,2199
1660,2288
1661,2369
1662,2442
1663,2487
1664,2499
1665,2482
1666,2437
1667,2384
1668,2334
1669,2288
1670,2233
1671,2198
1672,2192
1673,2203
1674,2234
1675,2282
1676,2329
1677,2373
1678,2417
1679,2450
1680,2463
1681,2450
1682,2422
1683,2383
1684,2341
1685,2302
1686,2258
1687,2201
1688,2162
1689,2150
1690,2160
1691,2183
1692,2218
1693,2247
1694,2274
1695,2321
1696,2364
1697,2399
1698,2411
1699,2404
1700,2389
1701,2371
1702,2352
1703,2323
1704,2289
1705,2274
1706,2275
1707,2290
1708,2319
1709,2346
1710,2362
1711,2377
1712,2407
1713,2429
1714,2437
1715,2422
1716,2392
1717,2359
1718,2321
1719,2288
1720,2240
1721,2197
1722,2183
1723,2192
1724,2219
1725,2250
1726,2279
1727,2308
1728,2350
1729,2385
1730,2416
1731,2419
1732,2395
1733,2357
1734,2315
1735,2267
1736,2216
1737,2167
1738,2133
1739,2133
1740,2156
1741,2192
1742,2241
1743,2289
1744,2339
1745,2384
1746,2414
1747,2415
1748,2386
1749,2340
1750,2277
1751,2211
1752,2150
1753,2082
1754,2010
1755,1970
1756,1966
1757,1979
1758,2000
1759,2024
1760,2047
1761,2075
1762,2111
1763,2128
1764,2124
1765,2098
1766,2064
1767,2021
